"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"04/30/2012","","Saldo Anterior","","0","1158.38",
"05/02/2012","","TED Transf.Eletr.Disponív - 033 4340  7340306000136 BIAZUS E LULKI","","6123465","6333.00",
"05/02/2012","3870-9","Compra com Cartão - 01/05 11:02 ITUT S CONFEITARIA","","139769","-11.78",
"05/02/2012","3870-9","Compra com Cartão - 01/05 14:38    HOT KITUT S","","252687","-40.15",
"05/02/2012","3870-9","Compra com Cartão - 02/05 12:10    LANCHONETE GLORIA","","343801","-13.53",
"05/02/2012","3870-9","Compra com Cartão - 02/05 18:13    ZONA SUL FL 33","","665626","-83.89",
"05/02/2012","","BB Renda Fixa 200","","1200026","-633.00",
"05/03/2012","3870-9","Compra com Cartão - 03/05 10:07    HORTIFRUTI","","136476","-4.49",
"05/03/2012","3870-9","Compra com Cartão - 03/05 13:54  GLORIA","","250068","-23.35",
"05/03/2012","","Telefone Pre-Pago - 2195744758-Vivo RJ","","95744758525969","-25.00",
"05/03/2012","3870-9","Transferência on line - 03/05 1249      23203-3 HFM CORRET DE","","521249000023203","-173.66",
"05/04/2012","","Resgate BB CDB DI","","1710011068734","2000.00",
"05/04/2012","","Resgate BB CDB DI","","1710011068734","33.92",
"05/04/2012","3870-9","Compra com Cartão - 04/05 01:25 ERE EVENTOS","","105143","-36.00",
"05/04/2012","3870-9","Compra com Cartão - 04/05 01:52    LIMASANTOS LANCHO","","206779","-19.40",
"05/04/2012","3870-9","Compra com Cartão - 04/05 16:09  GLORIA","","358151","-5.00",
"05/04/2012","3870-9","Compra com Cartão - 04/05 20:00    CINEPOLIS LAGOON","","672021","-17.00",
"05/04/2012","3870-9","Transferência on line - 04/05 1249      23203-3 HFM CORRET DE","","521249000023203","-2000.00",
"05/07/2012","3870-9","Compra com Cartão - 05/05 01:31    ARAB LAGOA","","105470","-64.71",
"05/07/2012","3870-9","Compra com Cartão - 07/05 16:25    ZONA SUL FL 33","","159126","-79.38",
"05/07/2012","3870-9","Compra com Cartão - 05/05 14:07 ZEN","","250831","-16.00",
"05/07/2012","3870-9","Compra com Cartão - 05/05 21:29    BRASEIRO DA GAVEA","","377356","-53.00",
"05/07/2012","3870-9","Compra com Cartão - 06/05 00:42    OZTEL","","602563","-39.60",
"05/07/2012","3870-9","Compra com Cartão - 06/05 18:35    SUSHIMAR COZINHA","","766953","-92.84",
"05/07/2012","3870-9","Compra com Cartão - 07/05 08:57  GLORIA","","832239","-4.50",
"05/07/2012","","Pagamento de Título - BANCO SANTANDER (BRASIL) S.A.","","50701","-194.63",
"05/07/2012","","Pagto cartão crédito","","64493542","-3.00",
"05/07/2012","","Pagto cartão crédito","","66619321","-104.04",
"05/08/2012","","Resgate BB CDB DI","","1710011068734","2000.00",
"05/08/2012","","Resgate BB CDB DI","","1710011068734","34.84",
"05/08/2012","3870-9","Compra com Cartão - 08/05 13:38 WASH LAVANDERIA","","149105","-36.00",
"05/08/2012","3870-9","Compra com Cartão - 08/05 19:09    LANCHONETE GLORIA","","268952","-4.00",
"05/08/2012","3870-9","Transferência on line - 08/05 1249      23203-3 HFM CORRET DE","","521249000023203","-2000.00",
